iter	Quantile:alpha=0.95
725	7995.7509
726	7994.403797
727	7992.352476
728	7990.289971
729	7988.400051
730	7986.596959
731	7985.022463
732	7982.92778
733	7981.560897
734	7979.430751
735	7977.07283
736	7975.74524
737	7973.627484
738	7971.711113
739	7969.997942
740	7968.717372
741	7966.391695
742	7964.571761
743	7962.402239
744	7959.898867
745	7957.695036
746	7954.546982
747	7952.911593
748	7951.016662
749	7949.38616
750	7947.492053
751	7945.930675
752	7944.13374
753	7941.801967
754	7939.978202
755	7938.162958
756	7935.964245
757	7934.720415
758	7933.397932
759	7931.070387
760	7929.191287
761	7927.632915
762	7926.438568
763	7924.030678
764	7922.247132
765	7920.776732
766	7919.540716
767	7918.135968
768	7916.028234
769	7914.68994
770	7912.912766
771	7911.886364
772	7910.066256
773	7907.488963
774	7905.857975
775	7903.867895
776	7902.289284
777	7899.561166
778	7897.829866
779	7896.938214
780	7894.475064
781	7892.77294
782	7891.209253
783	7890.00323
784	7888.401008
785	7886.948069
786	7884.682945
787	7882.789675
788	7881.798642
789	7879.648947
790	7878.119933
791	7876.348698
792	7874.163057
793	7872.166633
794	7870.393616
795	7869.571473
796	7868.320556
797	7866.914064
798	7865.068339
799	7863.263015
800	7861.416735
801	7859.553519
802	7857.311663
803	7855.408413
804	7854.238876
805	7851.821507
806	7849.750537
807	7848.232739
808	7847.039918
809	7845.681043
810	7844.375902
811	7842.178593
812	7841.163915
813	7838.60437
814	7836.95333
815	7835.450501
816	7833.824321
817	7832.036537
818	7830.38078
819	7828.844617
820	7828.075633
821	7826.423147
822	7825.534608
823	7824.33799
824	7822.584119
825	7821.291211
826	7819.559751
827	7818.09026
828	7815.675145
829	7812.926164
830	7811.567864
831	7810.016515
832	7808.308583
833	7807.153185
834	7806.006085
835	7804.590319
836	7803.075481
837	7801.497318
838	7799.972865
839	7799.205044
840	7797.384174
841	7795.813096
842	7793.420981
843	7791.452207
844	7790.129211
845	7789.073106
846	7788.023081
847	7786.815171
848	7785.39271
849	7784.292875
850	7783.112276
851	7780.817205
852	7779.739157
853	7778.596325
854	7776.865614
855	7775.390271
856	7774.00543
857	7772.321101
858	7770.809686
859	7769.064423
860	7768.151155
861	7766.867213
862	7765.617199
863	7764.283436
864	7762.761896
865	7761.54855
866	7760.33829
867	7759.148104
868	7757.530186
869	7756.483233
870	7754.821235
871	7753.296433
872	7752.165026
873	7750.894416
874	7749.161693
875	7747.292173
876	7746.153353
877	7745.106423
878	7743.28289
879	7742.198943
880	7740.186149
881	7738.567893
882	7736.852731
883	7735.802541
884	7733.549434
885	7732.226965
886	7730.601085
887	7729.519159
888	7728.408992
889	7726.72941
890	7725.451357
891	7723.971504
892	7722.766434
893	7721.772427
894	7720.069438
895	7718.853805
896	7717.316504
897	7716.218739
898	7714.518278
899	7712.765249
900	7711.735034
901	7709.761934
902	7708.22335
903	7707.237725
904	7706.113203
905	7704.726174
906	7703.502896
907	7701.645204
908	7700.541648
909	7698.791286
910	7696.722489
911	7695.098599
912	7694.156928
913	7692.735055
914	7691.825234
915	7690.677324
916	7689.941754
917	7688.788632
918	7687.205819
919	7686.328251
920	7684.755804
921	7683.548129
922	7681.525959
923	7680.007627
924	7678.463438
925	7677.397969
926	7675.991934
927	7674.559702
928	7673.580169
929	7672.224218
930	7671.385583
931	7670.044736
932	7668.705077
933	7667.65409
934	7666.523859
935	7665.40771
936	7664.311408
937	7662.893001
938	7661.472401
939	7660.141865
940	7658.77224
941	7657.648428
942	7656.735299
943	7655.400923
944	7654.420817
945	7652.660192
946	7651.192197
947	7649.085859
948	7647.760114
949	7645.954971
950	7644.432214
951	7643.506853
952	7642.683644
953	7641.605021
954	7640.322815
955	7639.653674
956	7638.899014
957	7636.766948
958	7635.239595
959	7633.324846
960	7632.34955
961	7631.18961
962	7630.077376
963	7628.798543
964	7627.821812
965	7626.355028
966	7625.365709
967	7623.584707
968	7621.814619
969	7620.11821
970	7619.241953
971	7617.942882
972	7617.062832
973	7615.195395
974	7613.787271
975	7613.019483
976	7610.445447
977	7609.279661
978	7607.938239
979	7606.357487
980	7605.031615
981	7604.193366
982	7602.249761
983	7601.151426
984	7599.90216
985	7598.804256
986	7597.38694
987	7595.402146
988	7593.367634
989	7592.007835
990	7591.26555
991	7590.395261
992	7588.872876
993	7587.666401
994	7586.510457
995	7585.317341
996	7584.569993
997	7583.460257
998	7582.713821
999	7581.886318
1000	7580.412521
1001	7578.390978
1002	7576.768155
1003	7575.809971
1004	7574.585488
1005	7573.306704
1006	7572.502741
1007	7571.913187
1008	7571.042554
1009	7569.624889
1010	7568.543742
1011	7567.137492
1012	7566.126346
1013	7565.323892
1014	7564.018038
1015	7562.939339
1016	7561.596304
1017	7559.704545
1018	7558.73034
1019	7557.499141
1020	7556.430964
1021	7555.526951
1022	7554.253055
1023	7553.170672
1024	7551.272741
1025	7549.595469
1026	7547.588049
1027	7546.333633
1028	7545.071774
1029	7543.940387
1030	7543.171407
1031	7541.736189
1032	7540.057512
1033	7538.948062
1034	7537.32186
1035	7536.351728
1036	7534.471569
1037	7533.6334
1038	7531.808108
1039	7530.330699
1040	7529.172315
1041	7528.062367
1042	7526.98959
1043	7525.84702
1044	7524.854757
1045	7523.730073
1046	7522.675554
1047	7521.146092
1048	7520.110483
1049	7519.490265
1050	7518.418971
1051	7517.494482
1052	7516.527354
1053	7515.230362
1054	7513.772586
1055	7512.406691
1056	7510.931801
1057	7510.055072
1058	7509.147965
1059	7508.361724
1060	7506.903646
1061	7505.154315
1062	7504.117686
1063	7502.896491
1064	7501.869806
1065	7500.676647
1066	7499.430069
1067	7498.388225
1068	7497.597836
1069	7496.552791
1070	7495.806734
1071	7494.583018
1072	7493.541154
1073	7492.3817
1074	7491.375214
1075	7489.943389
1076	7488.679994
1077	7487.485078
1078	7486.889695
1079	7485.770495
1080	7484.692981
1081	7483.566525
1082	7482.529583
1083	7481.394867
1084	7480.648211
1085	7479.945233
1086	7479.141083
1087	7478.143486
1088	7477.314094
1089	7475.128923
1090	7474.329278
1091	7473.529499
1092	7472.414193
1093	7470.987996
1094	7470.291453
